Name;sku;costNet;listPrice;cashPrice;description
15 pzas.;7 pzas. + 8 pzas.;1,545,366.98;6,300,000.00;6,300,000.00;15 pzas.
10 pzas.;Olla 2 lts. c/tapa + Olla 4 lts. c/tapa + Olla 6 lts. c/tapa alta + Colador 3 lts. + Sartén 26 cm. c/tapa + Sartén 20 cm.;1,095,561.05;4,600,000.00;4,600,000.00;10 pzas.
8 pzas.;Olla 2 lts. c/tapa + Olla 3 lts. c/tapa + Olla 8 lts. c/tapa + Paellera;881,048.61;3,700,000.00;3,700,000.00;8 pzas.
7 pzas.;Olla 1,5 lts. c/tapa + Olla 4 lts. c/tapa + Sartén 26 cm. c/tapa + Sartén 20 cm.;654,513.73;2,700,000.00;2,700,000.00;7 pzas.
5 pzas. Complementario;"Olla 3 lts. c/tapa + Olla 6 lts. c/tapa + 
Sartén 26 cm.";556,317.05;2,300,000.00;2,300,000.00;5 pzas. Complementario
5 pzas. Esencial;"Olla 2 lts. c/tapa + Olla 4 lts. c/tapa + 
Sartén 20 cm.";491,816.71;2,080,000.00;2,080,000.00;5 pzas. Esencial
Olla 30 lt con tapa;CO9680;;1,900,000.00;1,900,000.00;Olla 30 lt con tapa
Olla 20 lt con tapa;CO9675;;1,650,000.00;1,650,000.00;Olla 20 lt con tapa
Olla 12 lt con tapa;CO9660;;1,350,000.00;1,350,000.00;Olla 12 lt con tapa
Olla 8 lt con tapa;CO4725;;1,200,000.00;1,200,000.00;Olla 8 lt con tapa
Olla 6 lt con tapa;CO4720 CO4802;253,480.69;1,100,000.00;1,100,000.00;Olla 6 lt con tapa
Olla 4 lt con tapa;CO4715;;890,000.00;890,000.00;Olla 4 lt con tapa
Olla 3 lt con tapa;CO4710 C4801;128,813.69;800,000.00;800,000.00;Olla 3 lt con tapa
Olla 2 lt con tapa;CO4705 CO4800;;740,000.00;740,000.00;Olla 2 lt con tapa
Olla de 1,5 qts con tapa;CO4700 CO4800;;670,000.00;670,000.00;Olla de 1,5 qts con tapa
Olla de presion con reloj 6 lt;CO1253;305,492.70;1,400,000.00;1,400,000.00;Olla de presion con reloj 6 lt
Olla de presion con reloj 10 lt;CO1258;;1,690,000.00;1,690,000.00;Olla de presion con reloj 10 lt
Pavera Ovalada;CO6589;;1,550,000.00;1,550,000.00;Pavera Ovalada
"Paellera 14"" con tapa";CO4740;261,969.09;1,280,000.00;1,280,000.00;"Paellera 14"" con tapa"
"Paellera 10"" con tapa";CO4760;194,124.26;860,000.00;860,000.00;"Paellera 10"" con tapa"
Sarten de 26 cm con tapa;Co4735 CO4802;239,989.65;1,070,000.00;1,070,000.00;Sarten de 26 cm con tapa
Sarten 20 cm con tapa;CO4730 CO4801;181,911.28;799,000.00;799,000.00;Sarten 20 cm con tapa
Juego de Sarten Gourmet 4pzs;CO4650;318,154.86;1,500,000.00;1,500,000.00;Juego de Sarten Gourmet 4pzs
"Sarten gourmet 10"" con tapa";CO4750;174,666.83;860,000.00;860,000.00;"Sarten gourmet 10"" con tapa"
"Sarten Gourmet 8"" con tapa";CO4745;163,038.74;750,000.00;750,000.00;"Sarten Gourmet 8"" con tapa"
Juego Easy Release 6 piezas;CO9716;;3,100,000.00;3,100,000.00;Juego Easy Release 6 piezas
"Sarten Easy Release 10"" con tapa";CO9701;;1,250,000.00;1,250,000.00;"Sarten Easy Release 10"" con tapa"
"Sarten Easy Release 12"" con tapa";CO9702;;1,500,000.00;1,500,000.00;"Sarten Easy Release 12"" con tapa"
Max Tractor;JU0053;;2,990,000.00;2,990,000.00;Max Tractor
Coladores Max Tractor;PR1452;;418,000.00;418,000.00;Coladores Max Tractor
Tapa Pequeña 16cm;CO4800;;210,000.00;210,000.00;Tapa Pequeña 16cm
Tapa Mediana 20cm;CO4801;49,172.80;240,000.00;240,000.00;Tapa Mediana 20cm
